TIME,SUPPLY_VOLT_SET,SUPPLY_VOLT_MEASURE,CONV_VOLT_MEASURE,LOAD_VOLT_MEASURE,SUPPLY_CURRENT_SET,SUPPLY_CURRENT_MEASURE,CONV_CURRENT_MEASURE,LOAD_CURRENT_MEASURE,SUPPLY_POWER_SET,SUPPLY_POWER_MEASURE,CONV_POWER_MEASURE,LOAD_POWER_MEASURE,TEMP_AMB,TEMP_MEASURE,TEMP_SENSE,PAD
8.93,10.00,10.00,5.08,5.01,0.00,0.00,0.00,0.00,,0.03,0.00,0.00,-99.00,-99.00,68.90,
9.41,10.00,10.00,5.00,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
9.89,10.00,10.00,5.00,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
10.39,10.00,10.00,5.02,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
10.87,10.00,10.00,5.03,5.01,0.00,0.00,0.01,0.00,,0.03,0.03,0.00,-99.00,-99.00,68.90,
11.35,10.00,10.00,5.00,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
11.84,10.00,10.00,5.01,5.01,0.00,0.00,-0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
12.33,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
12.90,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
13.40,10.00,10.00,5.06,5.01,0.00,0.00,0.00,0.00,,0.03,0.00,0.00,-99.00,-99.00,69.35,
13.91,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
14.40,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
15.09,10.00,10.00,5.08,5.01,0.00,0.00,0.00,0.00,,0.03,0.00,0.00,-99.00,-99.00,68.90,
15.60,10.00,10.00,5.11,5.01,0.00,0.00,0.00,0.00,,0.03,0.00,0.00,-99.00,-99.00,69.35,
16.08,10.00,10.00,5.12,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
16.56,10.00,10.00,5.04,5.01,0.00,0.00,0.00,0.00,,0.03,0.00,0.00,-99.00,-99.00,69.35,
17.22,10.00,10.00,5.02,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
17.74,10.00,10.00,5.16,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
18.23,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
18.71,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.00,0.00,-99.00,-99.00,69.35,
19.20,10.00,10.00,5.00,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
19.68,10.00,10.00,5.10,5.01,0.00,0.00,-0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
20.16,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
20.67,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
21.16,10.00,10.00,5.14,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
21.65,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
22.13,10.00,10.00,5.03,5.01,0.00,0.00,0.00,0.00,,0.03,0.03,0.00,-99.00,-99.00,68.90,
22.63,10.00,10.00,5.08,5.01,0.00,0.00,0.00,0.00,,0.03,0.00,0.00,-99.00,-99.00,69.35,
23.14,10.00,10.00,5.05,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
23.72,10.00,10.00,5.14,5.01,0.00,0.00,0.00,0.00,,0.03,0.03,0.00,-99.00,-99.00,69.35,
24.21,10.00,10.00,5.06,5.01,0.00,0.00,0.00,0.00,,0.03,0.00,0.00,-99.00,-99.00,68.90,
24.72,10.00,10.00,5.02,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
25.20,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
25.68,10.00,10.00,5.07,5.01,0.00,0.00,0.00,0.00,,0.03,0.00,0.00,-99.00,-99.00,68.90,
26.18,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.00,0.00,-99.00,-99.00,69.35,
26.67,10.00,10.00,5.01,5.01,0.00,0.00,0.01,0.00,,0.03,0.04,0.00,-99.00,-99.00,68.90,
27.16,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
27.66,10.00,10.00,4.99,5.01,0.00,0.00,0.01,0.00,,0.03,0.00,0.00,-99.00,-99.00,69.35,
28.23,10.00,10.00,5.11,5.01,0.00,0.00,0.01,0.00,,0.03,0.00,0.00,-99.00,-99.00,68.90,
28.72,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
29.20,10.00,10.00,5.04,5.01,0.00,0.00,0.00,0.00,,0.03,0.00,0.00,-99.00,-99.00,69.35,
29.70,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
30.52,10.00,10.00,5.10,5.01,0.00,0.00,0.00,0.00,,0.03,0.00,0.00,-99.00,-99.00,69.35,
31.05,10.00,10.00,5.02,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
31.54,10.00,10.00,5.03,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
32.18,10.00,10.00,5.02,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,69.35,
32.66,10.00,10.00,5.01,5.01,0.00,0.00,0.00,0.00,,0.03,0.01,0.00,-99.00,-99.00,68.90,
33.18,10.00,10.00,5.14,5.00,1.00,0.23,1.00,0.25,,5.42,5.12,1.25,-99.00,-99.00,68.90,
33.86,10.00,10.00,5.15,4.97,1.00,0.54,1.00,1.00,,5.42,5.13,4.96,-99.00,-99.00,68.90,
34.35,10.00,10.00,5.14,4.97,1.00,0.54,1.00,1.00,,5.42,5.15,4.96,-99.00,-99.00,69.35,
34.84,10.00,10.00,5.05,4.97,1.00,0.54,0.00,0.00,,5.42,0.00,0.00,-99.00,-99.00,68.90,
35.66,10.00,10.00,5.08,5.03,1.00,0.00,-0.00,0.00,,0.02,0.01,0.00,-99.00,-99.00,68.90,
36.14,10.00,10.00,5.01,5.03,1.00,0.00,0.00,0.00,,0.02,0.00,0.00,-99.00,-99.00,68.90,
36.63,10.00,10.00,5.02,5.03,1.00,0.00,-0.00,0.00,,0.02,0.01,0.00,-99.00,-99.00,68.90,
37.13,10.00,10.00,5.03,5.03,1.00,0.00,0.00,0.00,,0.02,0.00,0.00,-99.00,-99.00,68.90,
37.62,10.00,10.00,5.02,5.03,1.00,0.00,0.00,0.00,,0.02,0.00,0.00,-99.00,-99.00,68.90,
38.14,10.00,10.00,5.00,5.03,1.00,0.00,-0.00,0.00,,0.02,0.01,0.00,-99.00,-99.00,68.90,
38.63,10.00,10.00,5.16,5.03,1.00,0.00,-0.00,0.00,,0.02,0.01,0.00,-99.00,-99.00,69.35,
39.11,10.00,10.00,5.04,5.03,1.00,0.00,-0.00,0.00,,0.02,0.01,0.00,-99.00,-99.00,68.90,
39.62,10.00,10.00,5.04,5.03,1.00,0.00,0.00,0.00,,0.02,0.00,0.00,-99.00,-99.00,69.35,
40.12,10.00,10.00,5.00,5.03,1.00,0.00,0.00,0.00,,0.02,0.01,0.00,-99.00,-99.00,68.90,
40.70,10.00,10.00,5.04,5.03,1.00,0.00,0.00,0.00,,0.02,0.00,0.21,-99.00,-99.00,69.35,
41.31,10.00,10.00,5.03,5.03,1.00,0.00,0.00,0.00,,0.02,0.00,0.00,-99.00,-99.00,68.90,
41.80,10.00,10.00,5.06,5.03,1.00,0.00,0.00,0.00,,0.02,0.00,0.00,-99.00,-99.00,68.90,
42.29,10.00,10.00,5.10,5.03,1.00,0.00,-0.00,0.00,,0.02,0.00,0.00,-99.00,-99.00,69.35,
42.79,10.00,10.00,5.05,5.03,1.00,0.00,-0.00,0.00,,0.02,0.01,0.00,-99.00,-99.00,68.90,
43.41,10.00,10.00,5.01,5.02,1.00,0.00,-0.00,0.00,,0.02,0.01,0.00,-99.00,-99.00,69.35,
44.12,10.00,10.00,5.15,5.02,1.00,0.01,1.00,0.00,,0.11,5.13,0.00,-99.00,-99.00,68.90,
44.75,10.00,10.00,5.14,4.97,1.00,0.54,1.00,0.93,,5.42,5.13,4.62,-99.00,-99.00,68.90,
45.25,10.00,10.00,5.14,4.97,1.00,0.54,1.00,1.00,,5.43,5.15,4.96,-99.00,-99.00,68.90,
45.81,10.00,10.00,5.14,4.97,1.00,0.54,1.00,1.00,,5.43,5.15,4.96,-99.00,-99.00,68.90,
