TIME,SUPPLY_VOLT_SET,SUPPLY_VOLT_MEASURE,CONV_VOLT_MEASURE,LOAD_VOLT_MEASURE,SUPPLY_CURRENT_SET,SUPPLY_CURRENT_MEASURE,CONV_CURRENT_MEASURE,LOAD_CURRENT_MEASURE,SUPPLY_POWER_SET,SUPPLY_POWER_MEASURE,CONV_POWER_MEASURE,LOAD_POWER_MEASURE,TEMP_AMB,TEMP_MEASURE,TEMP_SENSE,PAD
3.90,9.00,9.00,5.21,4.24,2.50,1.51,2.50,2.50,,13.64,12.88,10.60,65.28,100.24,100.74,
4.42,9.00,9.00,5.22,4.24,2.50,1.51,2.50,2.50,,13.64,12.93,10.60,65.35,100.17,100.62,
4.90,9.00,9.00,5.24,4.24,2.50,1.51,2.50,2.50,,13.64,12.88,10.60,65.32,100.13,100.62,
5.40,9.00,9.00,5.23,4.24,2.50,1.51,2.49,2.50,,13.64,12.90,10.60,65.28,100.13,100.74,
6.06,9.00,9.00,5.20,4.24,2.50,1.51,2.49,2.50,,13.64,12.95,10.60,65.28,100.17,100.85,
6.55,9.00,9.00,5.20,4.24,2.50,1.51,2.50,2.50,,13.64,12.88,10.60,65.32,100.17,100.74,
7.19,9.00,9.00,5.22,4.24,2.50,1.51,2.49,2.50,,13.64,12.95,10.60,65.32,100.20,100.85,
7.68,9.00,9.00,5.23,4.24,2.50,1.51,2.50,2.50,,13.64,12.90,10.60,65.32,100.24,100.74,
8.18,9.00,9.00,5.24,4.24,2.50,1.51,2.49,2.50,,13.64,12.86,10.60,65.32,100.24,100.85,
8.80,9.00,9.00,5.19,4.24,2.50,1.51,2.49,2.50,,13.64,12.94,10.60,65.32,100.31,100.74,
9.40,9.00,9.00,5.22,4.24,2.50,1.51,2.49,2.50,,13.64,12.90,10.60,65.25,100.24,100.85,
9.89,9.00,9.00,5.21,4.24,2.50,1.51,2.49,2.50,,13.64,12.98,10.60,65.25,100.24,100.85,
10.38,9.00,9.00,5.22,4.24,2.50,1.51,2.49,2.50,,13.64,12.98,10.60,65.28,100.24,100.96,
10.87,9.00,9.00,5.20,4.24,2.50,1.51,2.49,2.50,,13.64,12.89,10.60,65.32,100.24,101.19,
11.37,9.00,9.00,5.21,4.24,2.50,1.51,2.50,2.50,,13.64,12.92,10.60,65.32,100.27,100.74,
11.86,9.00,9.00,5.19,4.24,2.50,1.51,2.49,2.50,,13.64,12.84,10.60,65.32,100.38,100.96,
12.34,9.00,9.00,5.20,4.24,2.50,1.51,2.50,2.50,,13.64,12.90,10.60,65.35,100.31,100.74,
12.86,9.00,9.00,5.19,4.24,2.50,1.51,2.50,2.50,,13.64,12.95,10.60,65.35,100.35,100.96,
13.35,9.00,9.00,5.23,4.24,2.50,1.51,2.49,2.50,,13.64,12.95,10.60,65.35,100.35,100.96,
13.83,9.00,9.00,5.20,4.24,2.50,1.51,2.50,2.50,,13.64,12.98,10.60,65.28,100.42,100.96,
14.32,9.00,9.00,5.19,4.24,2.50,1.51,2.50,2.50,,13.64,12.99,10.60,65.39,100.38,100.96,
14.88,9.00,9.00,5.21,4.24,2.50,1.51,2.49,2.50,,13.64,12.98,10.60,65.35,100.42,100.96,
15.38,9.00,9.00,5.24,4.24,2.50,1.51,2.50,2.50,,13.64,13.01,10.60,65.35,100.49,101.07,
15.86,9.00,9.00,5.20,4.24,2.50,1.51,2.49,2.50,,13.64,12.95,10.60,65.32,100.45,101.19,
16.35,9.00,9.00,5.21,4.24,2.50,1.51,2.49,2.50,,13.64,12.88,10.60,65.32,100.49,101.07,
16.84,9.00,9.00,5.21,4.24,2.50,1.51,2.49,2.50,,13.64,12.89,10.60,65.28,100.53,100.96,
17.33,9.00,9.00,5.22,4.24,2.50,1.51,2.50,2.50,,13.64,12.86,10.60,65.25,100.49,101.07,
17.83,9.00,9.00,5.22,4.24,2.50,1.51,2.50,2.50,,13.64,12.98,10.60,65.35,100.49,100.96,
18.33,9.00,9.00,5.21,4.24,2.50,1.51,2.50,2.50,,13.64,12.99,10.60,65.35,100.53,101.07,
18.83,9.00,9.00,5.18,4.24,2.50,1.51,2.49,2.50,,13.64,12.90,10.60,65.32,100.45,101.19,
19.32,9.00,9.00,5.17,4.24,2.50,1.51,2.50,2.50,,13.64,12.89,10.60,65.32,100.56,101.07,
19.84,9.00,9.00,5.21,4.24,2.50,1.51,2.49,2.50,,13.64,12.95,10.60,65.35,100.53,101.07,
20.48,9.00,9.00,5.22,4.24,2.50,1.51,2.49,2.50,,13.64,13.04,10.60,65.35,100.56,101.19,
